PACKED,NULLABLE,SUB_PART,COMMENT,INDEX_NAME,INDEX_TYPE,NON_UNIQUE,COLLATION,INDEX_SCHEMA,SEQ_IN_INDEX,TABLE_SCHEMA,TABLE_NAME,TABLE_CATALOG,CARDINALITY,COLUMN_NAME
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,2,tikiwiki,tiki_charts_rankings,NULL,NULL,itemId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,3,tikiwiki,tiki_charts_rankings,NULL,0,period
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_charts_votes,NULL,NULL,user
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,2,tikiwiki,tiki_charts_votes,NULL,0,itemId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_chat_channels,NULL,0,channelId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_chat_messages,NULL,0,messageId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_chat_users,NULL,NULL,nickname
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,2,tikiwiki,tiki_chat_users,NULL,0,channelId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_comments,NULL,0,threadId
NULL,YES,NULL,<blank>,title,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_comments,NULL,NULL,title
NULL,YES,255,<blank>,data,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_comments,NULL,NULL,data
NULL,YES,NULL,<blank>,hits,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_comments,NULL,NULL,hits
NULL,YES,NULL,<blank>,tc_pi,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_comments,NULL,NULL,parentId
NULL,<blank>,NULL,<blank>,objectType,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_comments,NULL,NULL,object
NULL,<blank>,NULL,<blank>,objectType,BTREE,1,A,tikiwiki,2,tikiwiki,tiki_comments,NULL,NULL,objectType
NULL,YES,NULL,<blank>,commentDate,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_comments,NULL,NULL,commentDate
NULL,YES,NULL,<blank>,ft,FULLTEXT,1,NULL,tikiwiki,1,tikiwiki,tiki_comments,NULL,NULL,title
NULL,YES,NULL,<blank>,ft,FULLTEXT,1,NULL,tikiwiki,2,tikiwiki,tiki_comments,NULL,NULL,data
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_content,NULL,0,contentId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_content_templates,NULL,0,templateId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_content_templates_sections,NULL,NULL,templateId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,2,tikiwiki,tiki_content_templates_sections,NULL,0,section
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_cookies,NULL,0,cookieId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_copyrights,NULL,0,copyrightId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_directory_categories,NULL,0,categId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_directory_search,NULL,0,term
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_directory_sites,NULL,0,siteId
NULL,YES,NULL,<blank>,ft,FULLTEXT,1,NULL,tikiwiki,1,tikiwiki,tiki_directory_sites,NULL,NULL,name
NULL,YES,NULL,<blank>,ft,FULLTEXT,1,NULL,tikiwiki,2,tikiwiki,tiki_directory_sites,NULL,NULL,description
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_download,NULL,0,id
NULL,<blank>,NULL,<blank>,object,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_download,NULL,NULL,object
NULL,<blank>,NULL,<blank>,object,BTREE,1,A,tikiwiki,2,tikiwiki,tiki_download,NULL,NULL,userId
NULL,<blank>,NULL,<blank>,object,BTREE,1,A,tikiwiki,3,tikiwiki,tiki_download,NULL,NULL,type
NULL,<blank>,NULL,<blank>,userId,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_download,NULL,NULL,userId
NULL,<blank>,NULL,<blank>,type,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_download,NULL,NULL,type
NULL,<blank>,NULL,<blank>,date,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_download,NULL,NULL,date
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_drawings,NULL,0,drawId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_dsn,NULL,0,dsnId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_dynamic_variables,NULL,0,name
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_eph,NULL,0,ephId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_extwiki,NULL,0,extwikiId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_faq_questions,NULL,0,questionId
NULL,YES,NULL,<blank>,faqId,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_faq_questions,NULL,NULL,faqId
NULL,YES,255,<blank>,question,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_faq_questions,NULL,NULL,question
NULL,YES,255,<blank>,answer,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_faq_questions,NULL,NULL,answer
NULL,YES,NULL,<blank>,ft,FULLTEXT,1,NULL,tikiwiki,1,tikiwiki,tiki_faq_questions,NULL,NULL,question
NULL,YES,NULL,<blank>,ft,FULLTEXT,1,NULL,tikiwiki,2,tikiwiki,tiki_faq_questions,NULL,NULL,answer
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_faqs,NULL,0,faqId
NULL,YES,NULL,<blank>,title,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_faqs,NULL,NULL,title
NULL,YES,255,<blank>,description,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_faqs,NULL,NULL,description
NULL,YES,NULL,<blank>,hits,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_faqs,NULL,NULL,hits
NULL,YES,NULL,<blank>,ft,FULLTEXT,1,NULL,tikiwiki,1,tikiwiki,tiki_faqs,NULL,NULL,title
NULL,YES,NULL,<blank>,ft,FULLTEXT,1,NULL,tikiwiki,2,tikiwiki,tiki_faqs,NULL,NULL,description
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_featured_links,NULL,0,url
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_file_galleries,NULL,0,galleryId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_files,NULL,0,fileId
NULL,<blank>,NULL,<blank>,name,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_files,NULL,NULL,name
NULL,YES,255,<blank>,description,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_files,NULL,NULL,description
NULL,YES,NULL,<blank>,downloads,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_files,NULL,NULL,downloads
NULL,<blank>,NULL,<blank>,ft,FULLTEXT,1,NULL,tikiwiki,1,tikiwiki,tiki_files,NULL,NULL,name
NULL,YES,NULL,<blank>,ft,FULLTEXT,1,NULL,tikiwiki,2,tikiwiki,tiki_files,NULL,NULL,description
NULL,YES,NULL,<blank>,ft,FULLTEXT,1,NULL,tikiwiki,3,tikiwiki,tiki_files,NULL,NULL,search_data
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_forum_attachments,NULL,0,attId
NULL,<blank>,NULL,<blank>,threadId,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_forum_attachments,NULL,NULL,threadId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_forum_reads,NULL,NULL,user
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,2,tikiwiki,tiki_forum_reads,NULL,0,threadId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_forums,NULL,0,forumId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_forums_queue,NULL,0,qId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_forums_reported,NULL,0,threadId
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_friends,NULL,NULL,user
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,2,tikiwiki,tiki_friends,NULL,0,friend
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_friendship_requests,NULL,NULL,userFrom
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,2,tikiwiki,tiki_friendship_requests,NULL,0,userTo
NULL,<blank>,NULL,<blank>,PRIMARY,BTREE,0,A,tikiwiki,1,tikiwiki,tiki_galleries,NULL,0,galleryId
NULL,<blank>,NULL,<blank>,name,BTREE,1,A,tikiwiki,1,tikiwiki,tiki_galleries,NULL,NULL,name
